sample_order,frame_idx,timestamp,sampling_reason,frame_file,reviewed
1,0,0.0,uniform_fill,frame_000000.jpg,True
2,5,0.2,stand_hard_negative,frame_000005.jpg,True
3,10,0.4,wide_main,frame_000010.jpg,False
4,15,0.6,uniform_fill,frame_000015.jpg,False
5,30,1.2,uniform_fill,frame_000030.jpg,False
6,40,1.6,wide_main,frame_000040.jpg,False
7,45,1.8,uniform_fill,frame_000045.jpg,False
8,50,2.0,bench_area,frame_000050.jpg,False
9,60,2.4,referee_visible,frame_000060.jpg,False
10,80,3.2,wide_main,frame_000080.jpg,False
11,90,3.6,occlusion,frame_000090.jpg,False
12,100,4.0,goalkeeper_view,frame_000100.jpg,False
13,120,4.8,small_distant,frame_000120.jpg,True
14,150,6.0,dense_midfield,frame_000150.jpg,False
15,160,6.4,referee_visible,frame_000160.jpg,False
16,180,7.2,penalty_area,frame_000180.jpg,False
17,200,8.0,small_distant,frame_000200.jpg,False
18,220,8.8,dense_midfield,frame_000220.jpg,False
19,240,9.6,occlusion,frame_000240.jpg,False
20,250,10.0,scene_cut_or_replay,frame_000250.jpg,False
21,260,10.4,penalty_area,frame_000260.jpg,False
22,280,11.2,small_distant,frame_000280.jpg,False
23,300,12.0,fast_pan,frame_000300.jpg,False
24,320,12.8,dense_midfield,frame_000320.jpg,False
25,330,13.2,zoom,frame_000330.jpg,False
26,350,14.0,referee_visible,frame_000350.jpg,False
27,360,14.4,occlusion,frame_000360.jpg,False
28,380,15.2,goalkeeper_view,frame_000380.jpg,False
29,400,16.0,penalty_area,frame_000400.jpg,False
30,420,16.8,fast_pan,frame_000420.jpg,False
31,450,18.0,zoom,frame_000450.jpg,False
32,480,19.2,close_up,frame_000480.jpg,False
33,500,20.0,fast_pan,frame_000500.jpg,False
34,520,20.8,referee_visible,frame_000520.jpg,False
35,540,21.6,bench_area,frame_000540.jpg,False
36,560,22.4,goalkeeper_view,frame_000560.jpg,False
37,600,24.0,close_up,frame_000600.jpg,False
38,620,24.8,scene_cut_or_replay,frame_000620.jpg,False
39,680,27.2,scene_cut_or_replay,frame_000680.jpg,False
40,700,28.0,stand_hard_negative,frame_000700.jpg,False
