sample_order,frame_idx,timestamp,sampling_reason,provenance,confidence,trajectory_jump,multiple_candidate,reviewed
1,29,1.16,temporal_start,tracked,0.8108291625976562,False,False,False
2,70,2.8,conf_high,detected,0.8226093053817749,False,False,False
3,84,3.36,provenance_tracked,tracked,0.7996359467506409,False,False,False
4,91,3.64,temporal_start,detected,0.7911034822463989,False,False,False
5,97,3.88,provenance_detected,detected,0.7813639640808105,False,False,False
6,107,4.28,provenance_tracked,tracked,0.7755277752876282,False,False,False
7,122,4.88,conf_mid,detected,0.45563581585884094,False,False,False
8,138,5.52,possibly_invisible,tracked,0.1962222009897232,False,False,False
9,143,5.72,multiple_candidate,tracked,0.5122789740562439,False,True,False
10,145,5.8,conf_mid,tracked,0.27012020349502563,False,False,False
11,151,6.04,conf_mid,tracked,0.5199915766716003,False,False,False
12,178,7.12,provenance_detected,detected,0.2972637116909027,False,False,False
13,231,9.24,temporal_start,detected,0.5787501931190491,False,False,False
14,235,9.4,provenance_detected,detected,0.31666406989097595,False,False,False
15,248,9.92,provenance_detected,detected,0.5508689284324646,False,False,False
16,276,11.04,conf_low,detected,0.15834783017635345,False,False,False
17,278,11.12,provenance_detected,detected,0.5644382834434509,False,False,False
18,300,12.0,provenance_detected,detected,0.19016802310943604,False,False,False
19,310,12.4,temporal_mid,tracked,0.3422852158546448,False,False,False
20,321,12.84,temporal_mid,tracked,0.15557999908924103,False,False,False
21,343,13.72,trajectory_jump,tracked,0.16336485743522644,True,False,False
22,378,15.12,trajectory_jump,tracked,0.17985816299915314,True,True,False
23,385,15.4,multiple_candidate,tracked,0.6319140195846558,False,True,False
24,408,16.32,conf_high,detected,0.6261646747589111,False,False,False
25,411,16.44,multiple_candidate,detected,0.5108665823936462,False,True,False
26,423,16.92,conf_low,tracked,0.208571657538414,False,False,False
27,436,17.44,provenance_detected,detected,0.6735262870788574,False,False,False
28,437,17.48,trajectory_jump,tracked,0.5453883409500122,True,True,False
29,446,17.84,provenance_tracked,tracked,,False,False,False
30,463,18.52,conf_high,tracked,0.7873625755310059,False,False,False
31,465,18.6,provenance_tracked,tracked,0.58702552318573,False,False,False
32,470,18.8,conf_high,detected,0.6986992359161377,False,False,False
33,475,19.0,provenance_interpolated,interpolated,0.5033412575721741,False,False,False
34,477,19.08,conf_high,interpolated,0.7842625379562378,False,False,False
35,480,19.2,provenance_interpolated,interpolated,0.732160210609436,False,False,False
36,482,19.28,possibly_invisible,interpolated,,False,False,False
37,487,19.48,possibly_invisible,interpolated,,False,False,False
38,489,19.56,conf_mid,interpolated,0.32963383197784424,False,False,False
39,492,19.68,provenance_interpolated,interpolated,0.4457089602947235,False,False,False
40,534,21.36,conf_low,detected,0.16438746452331543,False,False,False
41,538,21.52,provenance_detected,detected,0.7206221222877502,False,False,False
42,573,22.92,provenance_tracked,tracked,,False,False,False
43,667,26.68,possibly_invisible,detected,0.1717814803123474,False,False,False
44,673,26.92,trajectory_jump,detected,0.356816828250885,True,True,False
45,688,27.52,multiple_candidate,tracked,0.41207316517829895,False,True,False
46,714,28.56,provenance_tracked,tracked,0.37886083126068115,False,False,False
47,733,29.32,provenance_tracked,tracked,,False,False,False
48,738,29.52,provenance_predicted,predicted,,False,False,False
49,746,29.84,provenance_tracked,tracked,0.7232443690299988,False,False,False
50,747,29.88,conf_low,detected,0.15732954442501068,False,False,False
